name,date,title,review,rating
blinscomb,15 May 2019," Captain America ruins it
",This guy is a horrible actor and ruins the whole experience,1
masssunka,9 May 2019," Was promised a chocolate cake, turned out to be cake of manure.
",This guy is a horrible actor and ruins the whole experience,1
abdulbashur,13 May 2019," Totally overrated!! Terrible film with several plot holes
",This guy is a horrible actor and ruins the whole experience,1
blindsniper-85919,28 April 2019," Way too many fanboys overlooking glaring issues
",This guy is a horrible actor and ruins the whole experience,1
with_blackstars,13 May 2019," Illogical and Convoluted
",This guy is a horrible actor and ruins the whole experience,1
ekilekil,11 May 2019," Disappointed..Tamil dubbing poor
",This guy is a horrible actor and ruins the whole experience,1
psychosis_64,2 May 2019," Miserable Ending to everything Good. Right from the Start!!
",This guy is a horrible actor and ruins the whole experience,1
waqashbutt,6 May 2019," Meh
",This guy is a horrible actor and ruins the whole experience,1
chatorech,6 May 2019," Extremely overhyped
",This guy is a horrible actor and ruins the whole experience,1
philipp-buchecker,24 April 2019," OK, but not as epic as expected
",This guy is a horrible actor and ruins the whole experience,7
jcoultis,12 May 2019," Boring
",This guy is a horrible actor and ruins the whole experience,1
hamidrezaie-26412,26 April 2019," Really messy
",This guy is a horrible actor and ruins the whole experience,6
alanaawram,16 May 2019," disguested. i feel lead on
",This guy is a horrible actor and ruins the whole experience,1
visa-80992,10 May 2019," Extremely Disappointed!
",This guy is a horrible actor and ruins the whole experience,1
azharsonu,12 May 2019," An emotional marvel
",This guy is a horrible actor and ruins the whole experience,1
wick27,29 April 2019," A decade to build, just 181-minutes to destroy......
",This guy is a horrible actor and ruins the whole experience,2
thomasdekoning1996,24 April 2019," The most satisfying ending, just like the Russo's said.
",This guy is a horrible actor and ruins the whole experience,10
stevenkoenig-16040,5 May 2019," I don't understand the hype
",This guy is a horrible actor and ruins the whole experience,1
stomes85,2 May 2019," Taco Tuesday librarian Hulk?
",This guy is a horrible actor and ruins the whole experience,1
salu_ka,3 May 2019," Full of disappointment
","In my opinion, they should have never filmed Endgame, it would be much better to finish everything with Infinity War, it would be much better because Infinity War was THE BEST EVER. and Endgame was very, very weak movie compared to it or any other marcel movie. I would prefer to not have seen Endgame.",1
engkarim-82135,2 May 2019," My rate
","In my opinion, they should have never filmed Endgame, it would be much better to finish everything with Infinity War, it would be much better because Infinity War was THE BEST EVER. and Endgame was very, very weak movie compared to it or any other marcel movie. I would prefer to not have seen Endgame.",1
bambijepsen,1 May 2019," Meh!
",This guy is a horrible actor and ruins the whole experience,1
yolosph,1 May 2019," Totally waste of time
",This guy is a horrible actor and ruins the whole experience,1
k_l_harish,2 May 2019," Worst Avengers Film. Infinity War was 14 million Times Better!
",This guy is a horrible actor and ruins the whole experience,1
